APT,Aliases,Alleged Location,Allegiance/Affiliation,Targeted Sectors,TARGETED COUNTRIES,TOOL,INFO,REFERENCE
RTM,,RUSSIA,,banking,"RUSSIA,CZECH, GERMANY, KAZAKHSTAN, RUSSIA,UNITED KINGDOM",rtm,"There are several groups actively and profitably targeting businesses in Russia. A trend that we have seen unfold before our eyes lately is these cybercriminals’ use of simple backdoors to gain a foothold in their targets’ networks. Once they have this access, a lot of the work is done manually, slowly getting to understand the network layout and deploying custom tools the criminals can use to steal funds from these entities. Some of the groups that best exemplify these trends are Buhtrap, Cobalt Group and Corkow, Metel. The group discussed in this white paper is part of this new trend. We call this new group RTM; it uses custom malware, written in Delphi, that we cover in detail in later sections. The first trace of this tool in our telemetry data dates back to late 2015. The group also makes use of several different modules that they deploy where appropriate to their targets. They are interested in users of remote banking systems (RBS), mainly in Russia and neighboring countries",https://www.welivesecurity.com/wp-content/uploads/2017/02/Read-The-Manual.pdf
Sandworm Team,"Quedagh, VOODOO BEAR,Iron Viking,Quedagh, TEMP.Noble",RUSSIA,Russian pro-hacktivists,"higher education, energy, government & defense, telecommunications","AZERBAIJAN, BELARUS, GEORGIA, IRAN, ISRAEL, KAZAKHSTAN, KYRGYZSTAN, LITHUANIA, POLAND, RUSSIA,UNITED KINGDOM","blackenergy, gcat, passkilldisk","Sandworm Team is a Russian cyberespionage group that has operated since approximately 2009. The group likely consists of Russian pro-hacktivists. Sandworm Team targets mainly Ukrainian entities associated with energy, industrial control systems, SCADA, government, and media. Sandworm Team has been linked to the Ukrainian energy sector attack in late 2015. This group appears to be closely associated with, or evolved into, TeleBots.",https://blog.trendmicro.com/trendlabs-security-intelligence/timeline-of-sandworm-attacks/
Scarlet Mimic,,CHINA,,activists & dissidents,,"callme, fakem, mobileorder, psylo","Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by Scarlet Mimic and Putter Panda, APT 2, it has not been concluded that the groups are the same. (Palo Alto) The attacks began over four years ago and their targeting pattern suggests that this adversary’s primary mission is to gather information about minority rights activists. We do not have evidence directly linking these attacks to a government source, but the information derived from these activities supports an assessment that a group or groups with motivations similar to the stated position of the Chinese government in relation to these targets is involved. The attacks we attribute to Scarlet Mimic have primarily targeted Uyghur and Tibetan activists as well as those who are interested in their causes. Both the Tibetan community and the Uyghurs, a Turkic Muslim minority residing primarily in northwest China, have been targets of multiple sophisticated attacks in the past decade. Both also have history of strained relationships with the government of the People’s Republic of China (PRC), though we do not have evidence that links Scarlet Mimic attacks to the PRC. Scarlet Mimic attacks have also been identified against government organizations in Russia and India, who are responsible for tracking activist and terrorist activities. While we do not know the precise target of each of the Scarlet Mimic attacks, many of them align to the patterns described above.",https://unit42.paloaltonetworks.com/scarlet-mimic-years-long-espionage-targets-minority-activists/
Silence,"Oleg Skulkin, Group-IB",UNKNOWN,,financial institutions,"ARMENIA, AZERBAIJAN, BELARUS, KAZAKHSTAN, MALAYSIA, POLAND, RUSSIA,UNITED KINGDOM","atmosphere, silence","Group-IB has exposed the attacks committed by Silence cybercriminal group. While the gang had previously targeted Russian banks, Group-IB experts also have discovered evidence of the group's activity in more than 25 countries worldwide. Group-IB has published its first detailed report on tactics and tools employed by Silence. Group-IB security analysts' hypothesis is that at least one of the gang members appears to be a former or current employee of a cyber security company. The confirmed damage from Silence activity is estimated at 800 000 USD. Silence is a group of Russian-speaking hackers, based on their commands language, the location of infrastructure they used, and the geography of their targets (Russia, Ukraine, Belarus, Azerbaijan, Poland, and Kazakhstan). Although phishing emails were also sent to bank employees in Central and Western Europe, Africa, and Asia). Furthermore, Silence used Russian words typed on an English keyboard layout for the commands of the employed backdoor. The hackers also used Russian-language web hosting services.",https://www.group-ib.com/blog/silence
SilverTerrier,,NIGERIA,,"high technology, higher education, manufacturing",,"predator pain, pony, keybase, ispysoftware, isr stealer, agent tesla, lokibot, zeus, atmos, netwire, darkcomet, nanocore",,https://unit42.paloaltonetworks.com/silverterrier-2019-update/
Soft Cell,"Cybereason Nocturnus, @nocturnus",CHINA,,telecommunications,,"china chopper, nbtscan, mimikatz, wmi, psexec, runhelp.exe, portqry.exe, htran, winrar, cmd.exe, whoami, net.exe, ipconfig, powershell, poisonivy, plugx,","In 2018, the Cybereason Nocturnus team identified an advanced, persistent attack targeting global telecommunications providers carried out by a threat actor using tools and techniques commonly associated with Chinese-affiliated threat actors, such as APT10.  This multi-wave attacks focused on obtaining data of specific, high-value targets and resulted in a complete takeover of the network.",https://www.cybereason.com/blog/operation-soft-cell-a-worldwide-campaign-against-telecommunications-providers
Sowbug,,UNKNOWN,,government & defense,"ARGENTINA, BRAZIL, BRUNEI, ECUADOR, MALAYSIA,PERU","felismus, starloader","Symantec has identified a previously unknown group called Sowbug that has been conducting highly targeted cyberattacks against organizations in South America and Southeast Asia and appears to be heavily focused on foreign policy institutions and diplomatic targets. Sowbug has been seen mounting classic espionage attacks by stealing documents from the organizations it infiltrates. Symantec saw the first evidence of Sowbug-related activity with the discovery in March 2017 of an entirely new piece of malware called Felismus used against a target in Southeast Asia. We have subsequently identified further victims on both sides of the Pacific Ocean. While the Felismus tool was first identified in March of this year, its association with Sowbug was unknown until now. Symantec has also been able to connect earlier attack campaigns with Sowbug, demonstrating that it has been active since at least early-2015 and may have been operating even earlier. To date, Sowbug appears to be focused mainly on government entities in South America and Southeast Asia and has infiltrated organizations in Argentina, Brazil, Ecuador, Peru, Brunei and Malaysia. The group is well resourced, capable of infiltrating multiple targets simultaneously and will often operate outside the working hours of targeted organizations in order to maintain a low profile",https://www.symantec.com/connect/blogs/sowbug-cyber-espionage-group-targets-south-american-and-southeast-asian-governments
Stealth Falcon,,UAE,,"activists & dissidents, journalists","UNITED ARAB EMIRATES, UNITED KINGDOM",0days,"This report describes a campaign of targeted spyware attacks carried out by a sophisticated operator, which we call Stealth Falcon. The attacks have been conducted from 2012 until the present, against Emirati journalists, activists, and dissidents. We discovered this campaign when an individual purporting to be from an apparently fictitious organization called “The Right to Fight” contacted Rori Donaghy. Donaghy, a UK-based journalist and founder of the Emirates Center for Human Rights, received a spyware-laden email in November 2015, purporting to offer him a position on a human rights panel. Donaghy has written critically of the United Arab Emirates (UAE) government in the past, and had recently published a series of articles based on leaked emails involving members of the UAE government. Circumstantial evidence suggests a link between Stealth Falcon and the UAE government. We traced digital artifacts used in this campaign to links sent from an activist’s Twitter account in December 2012, a period when it appears to have been under government control. We also identified other bait content employed by this threat actor. We found 31 public tweets sent by Stealth Falcon, 30 of which were directly targeted at one of 27 victims. Of the 27 targets, 24 were obviously linked to the UAE, based on their profile information (e.g., photos, “UAE” in account name, location), and at least six targets appeared to be operated by people who were arrested, sought for arrest, or convicted in absentia by the UAE government, in relation to their Twitter activity.",https://citizenlab.ca/2016/05/stealth-falcon/
Stolen Pencil,,North Korea,,"higher education, ngo/npo & think tanks",,mimikatz,"ASERT has learned of an APT campaign, possibly originating from DPRK, we are calling Stolen Pencil that is targeting academic institutions since at least May 2018. The ultimate motivation behind the attacks is unclear, but the threat actors are adept at scavenging for credentials. Targets are sent spear phishing e-mails that lead them to a web site displaying a lure document and are immediately prompted to install a malicious Google Chrome extension. Once gaining a foothold, the threat actors use off-the-shelf tools to ensure persistence, including Remote Desktop Protocol (RDP) to maintain access. Key Findings • A wide variety of phishing domains imply other targets, but those focused on academia were intended to install a malicious Chrome extension. • A large number of the victims, across multiple universities, had expertise in biomedical engineering, possibly suggesting a motivation for the attackers targeting. • Poor OPSEC led to users finding open web browsers in Korean, English-toKorean translators open, and keyboards switched to Korean. • The threat actors use built-in Windows administration tools and commercial offthe-shelf software to “live off the land”. The threat actor at the keyboard uses RDP to access compromised systems rather than a backdoor or Remote Access Trojan (RAT). • Post-exploitation persistence is maintained by harvesting passwords from a wide variety of sources such as process memory, web browsers, network sniffing, and keyloggers. • There is no evidence of data theft, leaving the motivation behind Stolen Pencil largely uncertain.",https://www.netscout.com/blog/asert/stolen-pencil-campaign-targets-academia
Strider,ProjectSauron,UNKNOWN,,"diplomatic/embassies, financial institutions, government & defense, research institute, telecommunications.","RUSSIA,CHINA,SWEDEN,BELGIUM,IRAN,RWANDA",remsec,"Strider has been active since at least October 2011. The group has maintained a low profile until now and its targets have been mainly organizations and individuals that would be of interest to a nation state’s intelligence services. Symantec obtained a sample of the group’s Remsec malware from a customer who submitted it following its detection by our behavioral engine. Remsec is primarily designed to spy on targets. It opens a back door on an infected computer, can log keystrokes, and steal files. Strider has been highly selective in its choice of targets and, to date, Symantec has found evidence of infections in 36 computers across seven separate organizations. The group’s targets include a number of organizations and individuals located in Russia, an airline in China, an organization in Sweden, and an embassy in Belgium.",https://www.symantec.com/connect/blogs/strider-cyberespionage-group-turns-eye-sauron-targets
Suckfly,,CHINA,,"e-commerce, financial institutions, government & defense, healthcare, media & entertainment, shipping & logistics, software & game development",INDIA,"gsecdump, nidiran, rcpscan, smbscan, wce","In March 2016, Symantec published a blog on Suckfly, an advanced cyberespionage group that conducted attacks against a number of South Korean organizations to steal digital certificates. Since then we have identified a number of attacks over a two-year period, beginning in April 2014, which we attribute to Suckfly. The attacks targeted high-profile targets, including government and commercial organizations. These attacks occurred in several different countries, but our investigation revealed that the primary targets were individuals and organizations primarily located in India. While there have been several Suckfly campaigns that infected organizations with the group’s custom malware Backdoor.Nidiran, the Indian targets show a greater amount of post-infection activity than targets in other regions. This suggests that these attacks were part of a planned operation against specific targets in India.",https://www.symantec.com/connect/blogs/indian-organizations-targeted-suckfly-attacks
TA459,,CHINA,,financial institutions,"RUSSIA,BELARUS,MONGOLIA","gh0st rat, nettraveler, plugx, zerot","On April 20 [2017], Proofpoint observed a targeted campaign focused on financial analysts working at top global financial firms operating in Russia and neighboring countries. These analysts were linked by their coverage of the telecommunications industry, making this targeting very similar to, and likely a continuation of, activity described in our “In Pursuit of Optical Fibers and Troop Intel” blog. This time, however, attackers opportunistically used spear-phishing emails with a Microsoft Word attachment exploiting the recently patched CVE-2017- 0199 to deploy the ZeroT Trojan, which in turn downloaded the PlugX Remote Access Trojan (RAT). Proofpoint is tracking this attacker, believed to operate out of China, as TA459. The actor typically targets Central Asian countries, Russia, Belarus, Mongolia, and others. TA549 possesses a diverse malware arsenal including PlugX, NetTraveler, and ZeroT.",https://www.proofpoint.com/us/threat-insight/post/apt-targets-financial-analysts
TA505,,UNKNOWN,,"financial institutions, hospitality & retail","CHILE, CHINA, FRANCE, GERMANY, HUNGARY, INDIA, ITALY, MEXICO, MALAWI, PAKISTAN, SOUTH KOREA, TAIWAN, UNITED KINGDOM, UNITED KINGDOM,UNITED STATES","bart, dridex, flawedammy, flawedgrace, globeimposter, jaff, kegotip, locky, lolbins, necurs, neutrino, philadelphia, rockloader, rms, servhelper, shifu, the trick","Proofpoint researchers track a wide range of threat actors involved in both financially motivated cybercrime and state-sponsored actions. One of the more prolific actors that we track - referred to as TA505 - is responsible for the largest malicious spam campaigns we have ever observed, distributing instances of the Dridex banking Trojan, Locky ransomware, Jaff ransomware, The Trick banking Trojan, and several others in very high volumes. Because TA505 is such a significant part of the email threat landscape, this blog provides a retrospective on the shifting malware, payloads, and campaigns associated with this actor. We examine their use malware such as Jaff, Bart, and Rockloader that appear to be exclusive to this group as well as more widely distributed malware like Dridex and Pony. Where possible, we detail the affiliate models with which they are involved and outline the current state of TA505 campaigns. TA505 is arguably one of the most significant financially motivated threat actors because of the extraordinary volumes of messages they send. The variety of malware delivered by the group also demonstrates their deep connections to the underground malware scene. At the time of writing, Locky ransomware remains their malware of choice, even as the group continues to experiment with a variety of additional malware.",
Taidoor,,CHINA,,government & defense,TAIWAN,taidoor,"The Taidoor attackers have been actively engaging in targeted attacks since at least March 4, 2009. Despite some exceptions, the Taidoor campaign often used Taiwanese IP addresses as C&C servers and email addresses to send out socially engineered emails with malware as attachments. One of the primary targets of the Taidoor campaign appeared to be the Taiwanese government. The attackers spoofed Taiwanese government email addresses to send out socially engineered emails in the Chinese language that typically leveraged Taiwan-themed issues. The attackers actively sent out malicious documents and maintained several IP addresses for command and control. As part of their social engineering ploy, the Taidoor attackers attach a decoy document to their emails that, when opened, displays the contents of a legitimate document but executes a malicious payload in the background. We were only able to gather a limited amount of information regarding the Taidoor attackers’ activities after they have compromised a target. We did, however, find that the Taidoor malware allowed attackers to operate an interactive shell on compromised computers and to upload and download files. In order to determine the operational capabilities of the attackers behind the Taidoor campaign, we monitored a compromised honeypot. The attackers issued out some basic commands in an attempt to map out the extent of the network compromise but quickly realized that the honeypot was not an intended targeted and so promptly disabled the Taidoor malware running on it. This indicated that while Taidoor malware were more widely distributed compared with those tied to other targeted campaigns, the attackers could quickly assess their targets and distinguish these from inadvertently compromised computers and honeypots.",https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp_the_taidoor_campaign.pdf
TEMP.Veles,XENOTIME,RUSSIA,Central Scientific Research Institute of Chemistry and Mechanics,"infrastructure, energy, manufacturing, mining,oil & gas","SAUDI ARABIA,UNITED STATES","cryptcat, hatman, mimikatz, netexec, psexec, sechack, trisis, triton, wii","TEMP.Veles is a Russia-based threat group that has targeted critical infrastructure. The group has been observed utilizing TRITON, a malware framework designed to manipulate industrial safety systems.",https://dragos.com/resource/xenotime/
The White Company,,UNKNOWN,,government & defense,PAKISTAN,"metasploit, rats","n our judgment, The White Company is likely a state-sponsored group, with access to zeroday exploits and exploit developers. We have observed The White Company evolve, modify, and refine both its exploits and its malware. They craft advanced tools that are mission-specific and tailored to esoteric target environments. We’ve witnessed The White Company go to unusual lengths to ensure stealth. In this campaign, we watched them turn eight different antivirus products against their owners. Then, oddly, the White Company instructed their code to voluntarily surrender to detection. In this report, Cylance reveals the intricacies of The White Company’s Pakistani operation, picking apart a campaign in which the tools and methods were designed and employed in often contradictory styles to deliberately cause confusion, delay analysis, and evade attribution.",https://www.cylance.com/content/dam/cylance-web/en-us/resources/knowledge-center/resource-library/reports/WhiteCompanyOperationShaheenReport.pdf?_ga=2.161661948.1943296560.1555683782-1066572390.1555511517
Threat Group-3390,"Emissary Panda, APT27,LuckyMouse, Bronze Union, TG--3390, TEMP Hippo, Group 35",CHINA,,"higher education, diplomatic/embassies, government & defense, it & electronics, telecommunications, ngo/npo & think tanks","AUSTRALIA, CANADA, CHINA, HONG KONG, INDIA, IRAN, ISRAEL, JAPAN, PHILIPPINES, RUSSIA, SOUTH KOREA, TAIWAN, THAILAND, UNITED KINGDOM,UNITED STATES","antak, aspxspy, china chopper, gh0st rat, gsecdump, httpbrowser, hunter, hyperbro, mimikatz, nishang, owaauth, plugx, psexec, upatre, windows credential editor, ziptoken","Threat Group-3390 is a Chinese threat group that has extensively used strategic Web compromises to target victims. The group has been active since at least 2010 and has targeted organizations in the aerospace, government, defense, technology, energy, and manufacturing sectors.",https://www.secureworks.com/research/threat-group-3390-targets-organizations-for-cyberespionage
Thrip,,CHINA,,"government & defense, telecommunications","UNITED STATES, HONG KONG, MACAU, INDONESIA, MALAYSIA, PHILIPPINES, VIETNAM","catchamas, mimikatz, rikamanu, spedear, wmi ghost","Perhaps the most worrying discovery we made was that Thrip had targeted a satellite communications operator. The attack group seemed to be particularly interested in the operational side of the company, looking for and infecting computers running software that monitors and controls satellites. This suggests to us that Thrip’s motives go beyond spying and may also include disruption. Another target was an organization involved in geospatial imaging and mapping. Again, Thrip seemed to be mainly interested in the operational side of the company. It targeted computers running MapXtreme Geographic Information System (GIS) software which is used for tasks such as developing custom geospatial applications or integrating location-based data into other applications. It also targeted machines running Google Earth Server and Garmin imaging software. The satellite operator wasn’t the only communications target Thrip was interested in. The group had also targeted three different telecoms operators, all based in Southeast Asia. In all cases, based on the nature of the computers infected by Thrip, it appeared that the telecoms companies themselves and not their customers were the targets of these attacks. In addition, there was a fourth target of interest, a defense contractor.",https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets
Tropic Trooper,"APT23, KeyBoy, TropicTrooper, BRONZE HOBART",UNKNOWN,,"government & defense, healthcare, high technology, transportation","VIETNAM,TAIWAN,PHILIPPINES,HONG KONG","keyboy, pcshare, poison ivy, titan, yahoyah, winsloader","Tropic Trooper is an unaffiliated threat group that has led targeted campaigns against targets in Taiwan, the Philippines, and Hong Kong. Tropic Trooper focuses on targeting government, healthcare, transportation, and high-tech industries and has been active since 2011.",https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/waterbug-attack-group.pdf
Turla,"Waterbug, WhiteBear, VENOMOUS BEAR, Snake, Krypton",RUSSIA,State-sponsored,"higher education, diplomatic/embassies, energy, government & defense, high technology, media & entertainment, ngo/npo & think tanks, pharmaceutical, research institute, hospitality & retail","AFGHANISTAN, ALGERIA, ARMENIA, AUSTRALIA, AUSTRIA, AZERBAIJAN, BELARUS, BELGIUM, BOLIVIA, BOTSWANA, BRAZIL, CHINA, CHILE, DENMARK, ECUADOR, ESTONIA, FINLAND, FRANCE, GEORGIA, GERMANY, HONG KONG, HUNGARY, INDIA, INDONESIA, IRAN, IRAQ, ITALY, JAMAICA, JORDAN, KAZAKHSTAN, KYRGYZSTAN, KUWAIT, LATVIA, MEXICO, NETHERLANDS, PAKISTAN, PARAGUAY, POLAND, QATAR, ROMANIA, RUSSIA, SERBIA, SPAIN, SAUDI ARABIA, SOUTH AFRICA, SWEDEN, SWITZERLAND, SYRIA, TAJIKISTAN, THAILAND, TUNISIA, TURKMENISTAN, UNITED KINGDOM, UNITED KINGDOM, URUGUAY, UNITED STATES, UZBEKISTAN, VENEZUELA, VIETNAM,YEMEN","adobearm, agent.btz, agent.dne, ati-agent, cobra carbon system, comrat, empire, epic, gazer, gpresult, html5 encoding, icedcoffeer, kazuar, kopiluwak, krypton, ksl0t, lightneuron, maintools.js, metasploit, mimikatz, minidionis, mosquito, nautilus, nbtstat, neuron, outlook backdoor, penguin turla, pfinet, popeye, pwdump, skipper, snake, systeminfo, tasklist, tavdig, turla, uroburos, wce, whiteatlas, whitebear, wipbot, witchcoven, wraith","Turla is a Russian-based threat group that has infected victims in over 45 countries, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies since 2004. Heightened activity was seen in mid-2015. Turla is known for conducting watering hole and spearphishing campaigns and leveraging in-house tools and malware. Turla’s espionage platform is mainly used against Windows machines, but has also been seen used against macOS and Linux machines.",https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/waterbug-attack-group.pdf
Winnti Group,"Blackfly, Wicked Panda",CHINA,State-sponsored,"software & game development, pharmaceutical, telecommunications","BELARUS, BRAZIL, CHINA, GERMANY, INDIA, INDONESIA, JAPAN, PERU,PHILIPPINES, RUSSIA, SOUTH KOREA, TAIWAN, THAILAND, UNITED STATES,VIETNAM","cobalt strike, winnti","Winnti Group is a threat group with Chinese origins that has been active since at least 2010. The group has heavily targeted the gaming industry, but it has also expanded the scope of its targeting. Some reporting suggests a number of other groups, including Axiom, Group 72, APT 17, Deputy Dog, and Ke3chang, Vixen Panda, APT 15, GREF, Playful Dragon, are closely linked to Winnti Group. (Trend Micro) The group behind the Winnti malware (which we will call the Winnti group for brevity) sprung up as a band of traditional cyber crooks, comprising black hats whose technical skills were employed to perpetrate financial fraud. Based on the use of domain names they registered, the group started out in the business of fake/rogue anti-virus products in 2007. In 2009, the Winnti group shifted to targeting gaming companies in South Korea using a self-named data- and file-stealing malware. The group, which was primarily motivated by profit, is noted for utilizing selfdeveloped technically-proficient tools for their attacks. They once attacked a game server to illicitly farm in-game currency (“gaming gold”, which also has real-world value) and stole source codes of online game projects. The group also engaged in the theft of digital certificates which they then used to sign their malware to make them stealthier. The Winnti group diversified its targets to include enterprises such as those in pharmaceutics and telecommunications. The group has since earned infamy for being involved in malicious activities associated with targeted attacks, such as deploying spear-phishing campaigns and building a backdoor.",https://blog.trendmicro.com/trendlabs-security-intelligence/pigs-malware-examining-possible-member-winnti-group/
Iridium,,IRAN,,"government & defense, mining,oil & gas, technology",,"china chopper, ckife webshells, lazycat, regeorge","Iridium is an APT that uses proprietary techniques to bypass two-factor authentication for critical applications, according to security firm Resecurity. A researcher has attributed a recently publicized attack on Citrix’ internal network to the Iranian-linked group known as Iridium – and said that the data heist involved 6 terabytes of sensitive data. The culprit is an APT that uses proprietary techniques to bypass two-factor authentication for critical applications and services for further unauthorized access to virtual private networks and single sign-on systems, according to Resecurity. “[Iridium] has hit more than 200 government agencies, oil and gas companies and technology companies, including Citrix Systems Inc.,” they said. Threatpost has reached out for further details as to how the firm is linking the APT to the attack and will update this post accordingly.",https://threatpost.com/ranian-apt-6tb-data-citrix/142688/
